"110年05月24日每日收盤行情(半導體業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2302","麗正","668,190","266","11,360,440","16.70","17.40","16.60","17.10","+","0.40","17.05","30","17.10","13","22.50",
"2303","聯電","160,119,346","53,979","7,678,694,424","46.60","49.00","46.35","48.70","+","1.75","48.65","135","48.70","125","16.13",
"2329","華泰","7,451,248","1,961","119,825,932","15.90","16.45","15.65","16.20","+","0.25","16.20","154","16.25","21","",
"2330","台積電","15,981,036","20,189","9,090,836,697","570.00","572.00","566.00","568.00","-","5.00","568.00","63","569.00","275","27.24",
"2337","旺宏","23,094,912","10,060","898,294,774","38.30","39.60","37.85","39.05","+","0.25","39.05","92","39.10","151","14.41",
"2338","光罩","14,951,659","8,642","1,101,402,427","70.90","75.60","70.40","75.60","+","4.00","75.60","9","75.70","111","12.58",
"2342","茂矽","1,131,292","650","33,934,838","29.65","30.45","29.20","30.30","+","0.50","30.30","7","30.35","25","12.78",
"2344","華邦電","76,245,145","26,701","2,242,790,862","28.80","30.00","28.40","29.90","+","1.00","29.90","150","29.95","1,154","39.87",
"2351","順德","7,037,728","5,032","614,993,509","83.00","89.90","82.10","89.90","+","7.10","89.80","4","89.90","25","33.67",
"2363","矽統","9,897,406","3,477","190,691,012","19.00","19.70","18.65","19.70","+","0.60","19.65","104","19.70","292","",
"2369","菱生","11,268,338","3,302","179,605,471","15.45","16.60","15.20","16.25","+","0.65","16.20","160","16.25","31","",
"2379","瑞昱","1,940,904","1,974","873,282,870","450.00","458.50","441.00","452.50","+","1.00","452.50","15","453.00","2","22.61",
"2388","威盛","1,462,596","926","64,122,659","42.60","44.70","42.30","44.10","+","0.50","44.05","19","44.10","22","3.42",
"2401","凌陽","17,105,591","6,976","462,804,034","26.35","28.05","26.00","27.90","+","1.40","27.85","11","27.90","123","24.69",
"2408","南亞科","10,000,578","6,050","757,238,084","75.00","77.40","74.40","76.60","+","0.30","76.60","100","76.70","22","27.96",
"2434","統懋","32,515","29","1,205,425","38.00","38.00","36.80","36.80","-","0.85","36.85","1","37.65","1","89.76",
"2436","偉詮電","23,239,373","12,447","1,395,278,411","58.40","61.70","57.20","61.20","+","1.70","61.20","79","61.30","89","16.50",
"2441","超豐","1,421,183","1,038","95,519,545","67.30","68.20","66.10","67.50","-","0.20","67.50","6","67.60","4","12.59",
"2449","京元電子","8,882,335","4,243","355,939,568","40.20","40.75","39.75","40.65","+","0.25","40.60","47","40.65","4","12.78",
"2451","創見","873,273","596","60,975,705","68.70","70.90","68.50","69.80","+","0.30","69.80","17","69.90","8","23.19",
"2454","聯發科","6,117,441","8,259","5,784,586,787","950.00","959.00","938.00","943.00","-","12.00","943.00","7","944.00","6","24.56",
"2458","義隆","2,805,932","2,182","564,527,251","199.50","206.00","198.50","205.00","+","3.50","204.50","3","205.00","11","13.93",
"2481","強茂","7,032,447","3,694","322,897,435","45.20","46.95","45.15","46.25","+","0.10","46.20","24","46.25","48","14.14",
"3006","晶豪科","41,250,027","20,591","4,639,298,325","106.00","117.00","105.00","117.00","+","10.50","117.00","9,303","--","0","22.59",
"3014","聯陽","7,296,528","4,991","816,030,394","111.00","116.00","108.00","115.00","+","2.50","114.50","82","115.00","76","15.65",
"3016","嘉晶","1,743,457","1,138","108,450,002","61.00","63.10","60.80","62.80","+","0.50","62.80","19","62.90","11","369.41",
"3034","聯詠","11,282,820","11,155","5,417,338,527","470.00","492.50","464.00","487.50","+","17.00","487.00","20","487.50","23","19.16",
"3035","智原","7,935,131","5,096","482,450,910","58.90","62.50","58.70","61.40","+","1.60","61.40","25","61.50","47","38.38",
"3041","揚智","1,898,848","983","46,418,553","23.55","25.00","23.45","24.85","+","0.80","24.85","1","24.90","62","",
"3054","立萬利","27,000","26","574,400","21.00","21.70","20.90","21.55","-","0.65","21.40","1","21.55","1","134.69",
"3094","聯傑","1,295,644","746","41,345,334","31.00","32.60","30.90","32.30","+","0.70","32.25","29","32.30","1","52.95",
"3189","景碩","8,599,252","5,273","811,852,571","93.60","96.40","93.20","96.00","+","1.60","95.90","3","96.00","106","60.00",
"3257","虹冠電","122,302","139","8,809,720","71.30","72.70","71.10","72.10","+","0.20","72.00","1","72.10","1","18.44",
"3413","京鼎","983,635","867","214,665,902","213.00","222.00","213.00","219.50","+","1.50","219.50","2","220.00","18","14.84",
"3443","創意","1,985,042","1,979","686,265,961","334.00","353.00","331.50","352.00","+","11.50","352.00","5","352.50","12","44.56",
"3530","晶相光","1,164,352","908","114,807,710","95.60","101.00","95.00","99.80","+","3.20","99.80","8","99.90","6","21.60",
"3532","台勝科","1,037,552","858","160,976,453","154.50","157.00","152.50","156.00","-","1.00","155.50","10","156.50","8","48.75",
"3536","誠創","54,610","28","430,225","7.90","8.00","7.60","8.00","-","0.10","7.63","2","8.00","6","",
"3545","敦泰","75,222,141","40,510","14,021,227,086","172.00","193.50","170.00","190.00","+","14.00","189.50","86","190.00","8","22.25",
"3583","辛耘","260,111","120","14,607,759","56.80","59.10","56.80","58.70","+","0.20","58.70","1","59.00","9","14.60",
"3588","通嘉","700,332","498","44,881,223","62.70","66.60","62.70","66.00","+","2.20","65.50","2","66.00","1","35.87",
"3661","世芯-KY","8,083,152","7,782","3,828,009,674","464.50","497.00","443.00","480.00","+","25.50","480.00","29","480.50","13","32.02",
